priority,category,channel,complexity_score,response_time_hours,resolution_time_hours,previous_tickets,customer_tenure_months,customer_age,sla_breach,escalated
Medium,Data Loss,Chat,6,24.77,53.52,4,16,69,1,0
Urgent,Feature Request,Chat,9,0.31,6.76,2,41,61,0,0
High,Payment Problem,Chat,4,9.04,54.11,3,24,57,1,0
High,Account Suspension,Chat,4,2.33,19.11,1,65,23,0,0
Low,Performance Issue,Chat,1,21.93,77.96,0,11,63,0,0
Low,Integration Failure,Email,4,30.64,168.7,5,19,36,1,0
Low,Subscription Cancellation,Chat,2,50.86,239.52,1,19,41,1,0
Urgent,Login Issue,Chat,6,2.27,18.3,4,31,52,1,1
High,Performance Issue,Chat,6,9.11,42.97,4,12,54,1,0
High,Feature Request,Email,5,4.85,28.66,2,33,63,1,0
Low,Integration Failure,Phone,4,41.35,295.84,1,70,59,1,0
Urgent,Subscription Cancellation,Chat,7,0.4,5.92,2,42,47,0,0
Urgent,Feature Request,Email,10,0.71,7.51,4,51,29,0,0
Low,Login Issue,Chat,1,59.93,163.41,2,56,39,1,0
Low,Security Breach,Portal,1,35.94,166.17,3,53,65,1,0
Low,Payment Problem,Phone,2,19.67,43.84,2,42,35,0,0
Medium,Security Breach,Email,4,24.26,66.94,5,57,40,1,0
Medium,Subscription Cancellation,Portal,6,19.2,60.08,2,36,41,1,0
Medium,Security Breach,Email,2,20.03,71.15,5,17,29,1,0
Medium,Subscription Cancellation,Portal,3,4.77,32.51,3,18,35,0,0
High,Account Suspension,Email,7,8.99,53.94,3,4,36,1,1
Low,Account Suspension,Email,2,14.29,43.51,0,51,33,0,0
Medium,Billing Dispute,Chat,4,34.6,63.39,3,20,22,1,0
Medium,Billing Dispute,Chat,4,19.44,72.28,1,67,63,1,0
Medium,Security Breach,Chat,2,20.48,75.87,1,57,56,1,0
High,Data Loss,Phone,7,4.45,56.28,2,14,24,1,1
Low,Security Breach,Phone,4,40.0,170.1,2,44,41,1,0
Medium,Security Breach,Chat,6,4.66,18.39,4,25,48,0,0
High,Data Loss,Chat,4,2.01,20.83,3,64,24,0,0
Low,Payment Problem,Email,2,13.72,104.85,5,2,68,0,0
High,Integration Failure,Email,4,2.81,19.45,0,38,22,0,0
Low,Data Loss,Chat,1,35.15,196.07,4,6,46,1,0
Low,Subscription Cancellation,Email,1,51.77,285.35,2,48,37,1,0
Urgent,Integration Failure,Phone,8,0.75,4.68,2,28,54,0,0
Urgent,Login Issue,Chat,9,1.56,17.67,1,66,67,1,1
Urgent,Payment Problem,Email,7,0.46,4.66,1,39,22,0,0
Medium,Login Issue,Chat,6,17.88,85.18,0,41,39,1,0
Low,Billing Dispute,Email,1,6.8,103.1,3,3,56,0,0
High,Performance Issue,Chat,4,3.07,7.21,6,71,29,0,0
Medium,Account Suspension,Phone,6,18.67,71.21,3,1,59,1,0
Low,Login Issue,Chat,2,43.16,240.17,3,49,69,1,0
Medium,Feature Request,Email,4,18.85,114.75,3,35,33,1,0
Low,Security Breach,Phone,1,28.4,134.11,3,35,18,1,0
Urgent,Subscription Cancellation,Email,6,0.75,4.81,5,49,22,0,0
Medium,Login Issue,Phone,6,8.19,30.51,2,62,24,0,0
High,Login Issue,Chat,8,8.02,59.98,2,16,51,1,1
Medium,Performance Issue,Chat,6,8.47,36.15,3,65,18,0,0
Medium,Billing Dispute,Portal,3,32.5,61.29,1,2,58,1,0
Medium,Security Breach,Phone,6,7.97,31.73,3,2,47,0,0
Low,Security Breach,Email,2,21.12,48.01,2,67,27,0,0
Urgent,Performance Issue,Email,7,0.35,6.18,1,59,62,0,0
High,Data Loss,Portal,7,11.11,38.61,5,42,20,1,1
Urgent,Performance Issue,Email,9,0.61,5.84,3,32,32,0,0
Urgent,Feature Request,Chat,7,0.83,7.05,2,16,26,0,0
High,Integration Failure,Phone,5,10.05,53.0,4,49,59,1,0
Urgent,Feature Request,Chat,10,0.24,6.54,0,53,21,0,0
Low,Performance Issue,Phone,3,64.6,179.13,2,66,20,1,0
Low,Account Suspension,Phone,2,10.87,82.1,2,37,20,0,0
Low,Data Loss,Phone,4,12.42,50.64,0,53,40,0,0
Medium,Account Suspension,Phone,4,2.5,21.3,2,51,22,0,0
Medium,Feature Request,Chat,2,9.23,36.48,5,66,20,0,0
Medium,Security Breach,Chat,2,6.6,27.09,1,2,55,0,0
Urgent,Feature Request,Chat,9,0.9,7.02,2,2,45,0,0
Medium,Payment Problem,Phone,4,4.93,29.6,1,29,61,0,0
Medium,Billing Dispute,Portal,5,24.51,57.44,1,66,46,1,0
Medium,Subscription Cancellation,Email,5,6.1,27.34,1,15,50,0,0
Low,Payment Problem,Email,3,62.52,154.51,4,45,38,1,0
Urgent,Performance Issue,Portal,7,0.6,7.57,4,71,47,0,0
Low,Login Issue,Chat,3,47.37,135.99,4,29,29,1,0
Urgent,Account Suspension,Email,10,2.9,15.09,4,33,48,1,1
High,Integration Failure,Phone,7,1.93,12.88,4,51,48,0,0
Low,Payment Problem,Portal,1,48.74,233.96,3,5,63,1,0
Low,Data Loss,Phone,4,51.67,222.57,1,37,25,1,0
Urgent,Account Suspension,Phone,6,0.24,7.17,4,3,62,0,0
High,Payment Problem,Email,6,8.4,32.53,1,11,54,1,0
High,Security Breach,Portal,7,6.95,30.42,3,11,20,1,1
High,Subscription Cancellation,Chat,5,9.34,55.64,1,7,59,1,0
Low,Feature Request,Portal,4,16.39,108.68,1,68,69,0,0
Medium,Feature Request,Email,5,8.8,25.48,2,19,26,0,0
Low,Payment Problem,Email,3,44.6,292.66,2,34,69,1,0
Urgent,Performance Issue,Chat,9,0.28,4.18,1,10,64,0,0
High,Data Loss,Email,7,2.12,16.32,1,2,40,0,0
Medium,Performance Issue,Phone,5,7.37,35.2,0,71,58,0,0
Low,Account Suspension,Portal,2,27.53,298.98,5,35,31,1,0
Medium,Billing Dispute,Phone,5,7.33,19.71,2,32,56,0,0
Medium,Subscription Cancellation,Portal,5,22.3,72.6,2,15,68,1,0
High,Subscription Cancellation,Chat,5,8.04,44.75,3,12,35,1,0
High,Feature Request,Phone,6,6.71,33.61,4,63,29,1,0
Urgent,Subscription Cancellation,Phone,9,0.57,5.42,4,43,58,0,0
Medium,Performance Issue,Phone,5,33.31,105.09,2,27,31,1,0
Low,Data Loss,Chat,1,62.33,279.71,4,55,44,1,0
High,Data Loss,Chat,7,2.65,12.45,1,32,61,0,0
High,Feature Request,Phone,8,2.68,9.89,0,10,50,0,0
High,Payment Problem,Email,5,11.2,49.44,3,35,35,1,0
High,Data Loss,Phone,6,8.05,49.47,4,4,18,1,0
Medium,Performance Issue,Portal,2,25.5,82.23,0,39,49,1,0
Medium,Login Issue,Chat,4,10.14,32.92,3,43,37,0,0
Medium,Payment Problem,Phone,6,9.19,39.31,3,18,53,0,0
Low,Billing Dispute,Phone,1,46.15,255.18,1,32,46,1,0
Low,Integration Failure,Phone,1,40.32,245.05,3,69,42,1,0
Low,Security Breach,Chat,3,50.01,243.19,2,28,37,1,0
High,Subscription Cancellation,Portal,8,1.16,18.5,3,39,69,0,0
Medium,Subscription Cancellation,Chat,4,8.52,33.35,2,27,47,0,0
Medium,Login Issue,Email,2,23.79,58.48,3,53,59,1,0
Urgent,Payment Problem,Phone,6,2.23,15.33,6,9,45,1,1
Low,Feature Request,Phone,2,64.99,281.46,4,51,41,1,0
Medium,Performance Issue,Phone,6,5.61,15.57,0,12,41,0,0
